2023-01-02 12:43:37.109823,f2:9e:d5:12:ad:b5,33:33:00:00:00:02
2023-01-02 12:43:37.112842,12:23:ed:10:04:01,33:33:00:00:00:02
2023-01-02 12:45:48.182418,a6:38:43:9a:c5:fb,33:33:00:00:00:02
2023-01-02 12:57:01.506066,ee:b8:83:6f:10:f6,ff:ff:ff:ff:ff:ff
2023-01-02 12:57:01.508252,e6:6a:2e:0e:c0:bf,ee:b8:83:6f:10:f6
2023-01-02 12:57:01.510443,e6:6a:2e:0e:c0:bf,ee:b8:83:6f:10:f6
2023-01-02 12:57:01.552928,ee:b8:83:6f:10:f6,ff:ff:ff:ff:ff:ff
2023-01-02 12:57:01.554821,12:35:25:cc:c5:2d,ee:b8:83:6f:10:f6
2023-01-02 12:57:01.610507,ee:b8:83:6f:10:f6,ff:ff:ff:ff:ff:ff
2023-01-02 12:57:01.629218,ee:b8:83:6f:10:f6,e6:6a:2e:0e:c0:bf
2023-01-02 13:02:05.488351,ee:b8:83:6f:10:f6,12:23:ed:10:04:01
2023-01-02 13:02:05.490460,12:23:ed:10:04:01,ee:b8:83:6f:10:f6
2023-01-02 13:02:05.492297,12:23:ed:10:04:01,ee:b8:83:6f:10:f6
2023-01-02 13:02:06.489768,ee:b8:83:6f:10:f6,12:23:ed:10:04:01
2023-01-02 13:02:10.709314,12:23:ed:10:04:01,ee:b8:83:6f:10:f6
2023-01-02 13:02:10.711079,ee:b8:83:6f:10:f6,12:23:ed:10:04:01
2023-01-02 13:02:10.713017,ee:b8:83:6f:10:f6,12:23:ed:10:04:01
2023-01-02 13:02:10.714268,12:23:ed:10:04:01,ee:b8:83:6f:10:f6
2023-01-02 13:02:38.048720,e6:6a:2e:0e:c0:bf,12:23:ed:10:04:01
2023-01-02 13:02:38.049863,12:23:ed:10:04:01,ff:ff:ff:ff:ff:ff
2023-01-02 13:02:38.051399,e6:6a:2e:0e:c0:bf,12:23:ed:10:04:01
2023-01-02 13:02:38.052933,12:23:ed:10:04:01,e6:6a:2e:0e:c0:bf
2023-01-02 13:02:38.054891,12:23:ed:10:04:01,e6:6a:2e:0e:c0:bf
2023-01-02 13:02:43.221471,e6:6a:2e:0e:c0:bf,12:23:ed:10:04:01
2023-01-02 13:02:43.222653,12:23:ed:10:04:01,e6:6a:2e:0e:c0:bf
2023-01-02 13:02:55.447387,e6:6a:2e:0e:c0:bf,ee:b8:83:6f:10:f6
2023-01-02 13:02:55.448618,ee:b8:83:6f:10:f6,e6:6a:2e:0e:c0:bf
2023-01-02 13:03:00.629653,e6:6a:2e:0e:c0:bf,ee:b8:83:6f:10:f6
2023-01-02 13:03:00.630778,ee:b8:83:6f:10:f6,e6:6a:2e:0e:c0:bf
2023-01-02 13:03:00.632057,ee:b8:83:6f:10:f6,e6:6a:2e:0e:c0:bf
2023-01-02 13:03:00.633738,e6:6a:2e:0e:c0:bf,ee:b8:83:6f:10:f6
2023-01-02 13:04:13.903539,ee:b8:83:6f:10:f6,ff:ff:ff:ff:ff:ff
2023-01-02 13:04:13.905861,e6:6a:2e:0e:c0:bf,ee:b8:83:6f:10:f6
2023-01-02 13:04:13.939030,ee:b8:83:6f:10:f6,ff:ff:ff:ff:ff:ff
